round,cumulative_samples,distinct_seen,posterior_mean_full_uniform,posterior_mean_full_dirichlet,posterior_mean_joint_c_alpha_c,posterior_mean_joint_c_alpha_alpha,true_m,occupancy_counts_desc
75,450,9,9.0,10.00460406329194,10.419118274105301,0.411626436502206,9,239 88 54 23 15 12 9 7 3
76,456,9,9.0,9.998694339896419,10.425563950077752,0.4077525485388091,9,244 89 54 23 15 12 9 7 3
77,462,9,9.0,9.992882418085774,10.393584625262225,0.41797662954200454,9,247 89 56 23 15 12 9 7 4
78,468,9,9.0,9.987165665050131,10.394252355222662,0.41625060867149855,9,250 91 56 24 15 12 9 7 4
79,474,9,9.0,9.981541545927982,10.392482215027778,0.41546540123769593,9,252 92 58 25 15 12 9 7 4
80,480,9,9.0,9.976007619151707,10.398001946238274,0.4120043188149535,9,257 92 59 25 15 12 9 7 4
81,486,9,9.0,9.970561532076095,10.388603036464225,0.41405882624098744,9,262 92 59 25 15 12 9 8 4
82,492,9,9.0,9.96520101684883,10.393112816544704,0.4110299117296413,9,266 93 60 25 15 12 9 8 4
83,498,9,9.0,9.95992388651248,10.36769524095105,0.4189978500533164,9,267 96 61 25 15 12 9 8 5
84,504,9,9.0,9.95472803132995,10.357743260527034,0.42137121966192187,9,270 96 61 27 16 12 9 8 5
85,510,9,9.0,9.949611415302913,10.344722949423453,0.4249163019464569,9,271 98 63 27 16 12 9 9 5
86,516,9,9.0,9.944572072892788,10.341777646601344,0.4246979072854871,9,274 99 64 27 17 12 9 9 5
87,522,9,9.0,9.939608105910946,10.334245627217804,0.42622909970407025,9,278 99 64 28 17 13 9 9 5
88,528,9,9.0,9.934717680577144,10.333238048220517,0.4253123137161888,9,282 100 64 28 18 13 9 9 5
89,534,9,9.0,9.929899024733118,10.333512043730739,0.42393724404362226,9,285 101 65 29 18 13 9 9 5
90,540,9,9.0,9.925150425208214,10.328695743013029,0.42449895364309304,9,288 102 65 30 19 13 9 9 5
91,546,9,9.0,9.920470225312066,10.329914716149652,0.4228074198353357,9,291 104 65 31 19 13 9 9 5
92,552,9,9.0,9.915856822465443,10.321362307186,0.4247894163735727,9,294 106 65 31 19 13 10 9 5
93,558,9,9.0,9.91130866594619,10.30648987181651,0.429203220071906,9,296 106 66 33 19 13 11 9 5
94,564,9,9.0,9.906824254753667,10.280832225338427,0.43784497108810433,9,298 106 66 34 20 13 13 9 5
95,570,9,9.0,9.902402135574237,10.28141292632895,0.4364035580080636,9,303 106 66 34 21 13 13 9 5
96,576,9,9.0,9.89804090085496,10.286577817482183,0.4332198462718073,9,307 108 66 34 21 13 13 9 5
97,582,9,9.0,9.89373918696486,10.266380105079154,0.439845744443498,9,309 109 66 34 23 13 13 10 5
